,Ticker,Sector,Industry,Market Cap,Company Name
376,RBLBANK,Financial Services,Banks,99.83,RBL Bank Limited
377,RITES,Industrials,Construction,91.18,RITES Limited
378,RADICO,Fast Moving Consumer Goods,Beverages,159.85,Radico Khaitan Limited
379,RVNL,Industrials,Construction,252.6,Rail Vikas Nigam Limited
380,RAIN,Commodities,Chemicals & Petrochemicals,54.98,Rain Industries Limited
381,RAINBOW,Healthcare,Healthcare Services,94.93,Rainbow Childrens Medicare Limited
382,RALLIS,Commodities,Fertilizers & Agrochemicals,38.01,Rallis India Limited
383,RCF,Commodities,Fertilizers & Agrochemicals,59.86,Rashtriya Chemicals and Fertilizers Limited
384,RAJESHEXPO,Consumer Discretionary,Consumer Durables,160.81,Rajesh Exports Limited
385,RATNAMANI,Industrials,Industrial Products,163.55,Ratnamani Metals & Tubes Limited
386,RAYMOND,Consumer Discretionary,Textiles & Apparels,111.15,Raymond Limited
387,RELAXO,Consumer Discretionary,Consumer Durables,223.91,Relaxo Footwears Limited
388,REDINGTON,Services,Commercial Services & Supplies,146.08,Redington Limited
389,RTNINDIA,Services,Commercial Services & Supplies,56.12,RattanIndia Enterprises Limited
390,RELIANCE,Energy,Petroleum Products,17013.82,Reliance Industries Limited
391,RBA,Consumer Discretionary,Leisure Services,56.55,Restaurant Brands Asia Limited
392,ROUTE,Telecommunication,Telecom - Services,97.04,ROUTE MOBILE LIMITED
393,SBICARD,Financial Services,Finance,811.02,SBI Cards and Payment Services Limited
394,SBILIFE,Financial Services,Insurance,1263.84,SBI Life Insurance Company Limited
395,ROSSARI,Commodities,Chemicals & Petrochemicals,46.63,Rossari Biotech Limited
396,SJVN,Utilities,Power,154.83,SJVN Limited
397,SKFINDIA,Industrials,Industrial Products,241.2,SKF India Limited
398,SRF,Commodities,Chemicals & Petrochemicals,688.12,SRF Limited
399,SANOFI,Healthcare,Pharmaceuticals & Biotechnology,156.14,Sanofi India Limited
400,MOTHERSON,Consumer Discretionary,Auto Components,563.12,Samvardhana Motherson International Limited
401,SAPPHIRE,Consumer Discretionary,Leisure Services,86.35,Sapphire Foods India Limited
402,SCHAEFFLER,Consumer Discretionary,Auto Components,500.93,Schaeffler India Limited
403,SHARDACROP,Commodities,Fertilizers & Agrochemicals,47.85,Sharda Cropchem Limited
404,SHREECEM,Commodities,Cement & Cement Products,907.26,SHREE CEMENT LIMITED
405,SHOPERSTOP,Consumer Discretionary,Retailing,87.71,Shoppers Stop Limited
406,RENUKA,Fast Moving Consumer Goods,Agricultural Food & other Products,93.65,Shree Renuka Sugars Limited
407,SHRIRAMFIN,Financial Services,Finance,628.47,Shriram Finance Limited
408,SHYAMMETL,Commodities,Ferrous Metals,85.41,Shyam Metalics and Energy Limited
409,SOLARINDS,Commodities,Chemicals & Petrochemicals,338.98,Solar Industries India Limited
410,SIEMENS,Industrials,Electrical Equipment,1308.99,Siemens Limited
411,SOBHA,Consumer Discretionary,Realty,50.16,Sobha Limited
412,SONACOMS,Consumer Discretionary,Auto Components,296.75,Sona BLW Precision Forgings Limited
413,SONATSOFTW,Information Technology,IT - Software,136.84,Sonata Software Limited
414,STARHEALTH,Financial Services,Insurance,320.38,Star Health and Allied Insurance Company Limited
415,SBIN,Financial Services,Banks,4949.59,State Bank of India
416,SAIL,Commodities,Ferrous Metals,348.62,Steel Authority of India Limited
417,SWSOLAR,Industrials,Construction,54.85,Sterling and Wilson Renewable Energy Limited
418,STLTECH,Telecommunication,Telecom - Services,59.04,Sterlite Technologies Limited
419,SUMICHEM,Commodities,Fertilizers & Agrochemicals,211.36,Sumitomo Chemical India Limited
420,SUNTV,Consumer Discretionary,Entertainment,168.57,Sun TV Network Limited
421,SPARC,Healthcare,Pharmaceuticals & Biotechnology,62.74,Sun Pharma Advanced Research Company Limited
422,SUNPHARMA,Healthcare,Pharmaceuticals & Biotechnology,2378.82,Sun Pharmaceutical Industries Limited
423,SUNDARMFIN,Financial Services,Finance,288.63,Sundaram Finance Limited
424,SUNDRMFAST,Consumer Discretionary,Auto Components,244.07,Sundram Fasteners Limited
425,SUNTECK,Consumer Discretionary,Realty,40.16,Sunteck Realty Limited
426,SUPRAJIT,Consumer Discretionary,Auto Components,53.39,Suprajit Engineering Limited
427,SUPREMEIND,Industrials,Industrial Products,396.84,Supreme Industries Limited
428,SUVENPHAR,Healthcare,Pharmaceuticals & Biotechnology,123.82,Suven Pharmaceuticals Limited
429,SUZLON,Industrials,Electrical Equipment,171.82,Suzlon Energy Limited
430,SWANENERGY,Consumer Discretionary,Realty,71.59,Swan Energy Limited
431,TCIEXP,Services,Transport Services,61.72,TCI Express Limited
432,SYNGENE,Healthcare,Healthcare Services,292.45,Syngene International Limited
433,TTKPRESTIG,Consumer Discretionary,Consumer Durables,101.9,TTK Prestige Limited
434,TCNSBRANDS,Consumer Discretionary,Textiles & Apparels,26.23,TCNS Clothing Co. Limited
435,TV18BRDCST,Consumer Discretionary,Entertainment,65.66,TV18 Broadcast Limited
436,TVSMOTOR,Consumer Discretionary,Automobiles,618.21,TVS Motor Company Limited
437,TMB,Financial Services,Banks,69.39,Tamilnad Mercantile Bank Limited
438,TATACOMM,Telecommunication,Telecom - Services,444.84,Tata Communications Limited
439,TCS,Information Technology,IT - Software,11768.79,Tata Consultancy Services Limited
440,TANLA,Information Technology,IT - Software,134.48,Tanla Platforms Limited
441,TATACHEM,Commodities,Chemicals & Petrochemicals,249.67,Tata Chemicals Limited
