,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
123,FSL,0.0,0.648,0.352,0.663,74.3,Firstsource Solutions Limited,XC - INTH,XC - ITS
124,GAEL,0.0,1.0,0.0,0.0,55.55,Gujarat Ambuja Exports Limited,XC - COST,XC - FOP
125,GALAXYSURF,0.11,0.786,0.105,-0.013,82.69,Galaxy Surfactants Limited,XC - MTRL,XC - CHM
126,GARFIBRES,0.0,0.698,0.302,0.382,59.52,Garware Technical Fibres Limited,XC - CODI,XC - TXT
127,GESHIP,0.05,0.661,0.289,0.596,90.66,The Great Eastern Shipping Company Limited,XC - INDS,XC - SHP
128,GLAND,0.0,0.918,0.082,0.157,223.15,Gland Pharma Limited,XC - HECA,XC - PHR
129,GLAXO,0.0,1.0,0.0,0.0,215.36,GlaxoSmithKline Pharmaceuticals Limited,XC - HECA,XC - PHR
130,GLENMARK,0.0,0.964,0.036,0.062,116.56,Glenmark Pharmaceuticals Limited,XC - HECA,XC - PHR
131,GMMPFAUDLR,0.0,0.914,0.086,0.095,70.27,GMM Pfaudler Limited,XC - INDS,XC - CAG
132,GMRINFRA,0.0,1.0,0.0,0.0,240.53,GMR Airports Infrastructure Limited,XC - INDS,XC - CNS
133,GNFC,0.0,1.0,0.0,0.0,89.26,Gujarat Narmada Valley Fertilizers and Chemicals Limited,XC - MTRL,XC - CHM
134,GOCOLORS,0.0,1.0,0.0,0.0,60.26,Go Fashion (India) Limited,XC - CODI,XC - RTL
135,GODREJAGRO,0.0,1.0,0.0,0.0,88.4,Godrej Agrovet Limited,XC - COST,XC - HPP
136,GODREJCP,0.0,0.905,0.096,0.191,950.49,Godrej Consumer Products Limited,XC - COST,XC - HPP
137,GODREJIND,0.0,1.0,0.0,0.0,145.31,Godrej Industries Limited,XC - COST,XC - HPP
138,GODREJPROP,0.0,1.0,0.0,0.0,337.98,Godrej Properties Limited,XC - RLES,XC - REM
139,GPPL,0.0,1.0,0.0,0.0,45.49,Gujarat Pipavav Port Limited,XC - INDS,XC - SHP
140,GRANULES,0.0,0.963,0.037,0.079,74.84,Granules India Limited,XC - HECA,XC - PHR
141,GRAPHITE,0.219,0.571,0.21,-0.026,70.9,Graphite India Limited,XC - INDS,XC - CAG
142,GRASIM,0.0,1.0,0.0,0.0,1055.55,Grasim Industries Limited,XC - MTRL,XC - CMT
143,GREENPANEL,0.0,1.0,0.0,0.0,39.55,Greenpanel Industries Limited,XC - CODI,XC - COD
144,GSFC,0.0,1.0,0.0,0.0,51.03,Gujarat State Fertilizers & Chemicals Limited,XC - MTRL,XC - FRT
145,HAPPSTMNDS,0.0,0.523,0.477,0.703,128.76,Happiest Minds Technologies Limited,XC - INTH,XC - ITS
146,HATSUN,0.0,0.951,0.049,0.088,200.55,Hatsun Agro Product Limited,XC - COST,XC - FOP
147,HAVELLS,0.0,0.97,0.03,0.055,747.68,Havells India Limited,XC - CODI,XC - COD
148,HCLTECH,0.017,0.928,0.055,0.061,3087.74,HCL Technologies Limited,XC - INTH,XC - ITS
149,HDFC,0.0,0.951,0.049,0.076,5062.42,Housing Development Finance Corporation Limited,XC - FNCL,XC - NFC
150,HDFCAMC,0.0,0.653,0.347,0.461,419.03,HDFC Asset Management Company Limited,XC - FNCL,XC - NFC
151,HDFCBANK,0.0,0.942,0.058,0.095,9455.39,HDFC Bank Limited,XC - FNCL,XC - PVT
152,HDFCLIFE,0.0,0.906,0.094,0.176,1267.05,HDFC Life Insurance Company Limited,XC - FNCL,XC - NFC
153,HEG,0.0,1.0,0.0,0.0,40.4,HEG Limited,XC - INDS,XC - CAG
154,HEROMOTOCO,0.0,0.692,0.308,0.557,553.91,Hero MotoCorp Limited,XC - CODI,XC - ATO
155,HFCL,0.0,0.815,0.185,0.227,97.89,HFCL Limited,XC - COSE,XC - TEL
156,HINDALCO,0.0,1.0,0.0,0.0,1089.1,Hindalco Industries Limited,XC - MTRL,XC - MTL
157,HINDCOPPER,0.0,1.0,0.0,0.0,124.41,Hindustan Copper Limited,XC - MTRL,XC - MTL
158,HINDPETRO,0.1,0.675,0.225,0.124,353.5,Hindustan Petroleum Corporation Limited,XC - ENRG,XC - REF
159,HINDUNILVR,0.0,1.0,0.0,0.0,6110.11,Hindustan Unilever Limited,XC - COST,XC - HPP
160,HINDZINC,0.0,0.965,0.035,0.063,1499.78,Hindustan Zinc Limited,XC - MTRL,XC - MTL
161,HOMEFIRST,0.0,1.0,0.0,0.0,66.35,Home First Finance Company India Limited,XC - FNCL,XC - NFC
162,ICICIBANK,0.0,0.881,0.119,0.174,6076.11,ICICI Bank Limited,XC - FNCL,XC - PVT
163,ICICIGI,0.0,0.974,0.026,0.055,561.62,ICICI Lombard General Insurance Company Limited,XC - FNCL,XC - NFC
164,ICICIPRULI,0.028,0.912,0.06,0.069,676.05,ICICI Prudential Life Insurance Company Limited,XC - FNCL,XC - NFC
165,IDBI,0.0,0.97,0.03,0.062,575.79,IDBI Bank Limited,XC - FNCL,XC - PSU
166,IDEA,0.0,1.0,0.0,0.0,226.44,Vodafone Idea Limited,XC - FNCL,XC - NFC
167,IDEA,0.0,1.0,0.0,0.0,226.44,Vodafone Idea Limited,XC - COSE,XC - TEL
168,IDFC,0.0,1.0,0.0,0.0,137.36,IDFC Limited,XC - FNCL,XC - NFC
169,IDFCFIRSTB,0.0,0.948,0.052,0.11,366.72,IDFC First Bank Limited,XC - FNCL,XC - PVT
170,IEX,0.0,0.666,0.334,0.426,124.69,Indian Energy Exchange Limited,XC - FNCL,XC - NFC
171,IFBIND,0.0,1.0,0.0,0.0,35.57,IFB Industries Limited,XC - CODI,XC - COD
172,IGL,0.0,1.0,0.0,0.0,296.94,Indraprastha Gas Limited,XC - ENRG,XC - ODE
173,IIFL,0.0,0.951,0.049,0.1,178.48,IIFL Finance Limited,XC - FNCL,XC - NFC
174,INDHOTEL,0.026,0.954,0.021,-0.027,427.04,The Indian Hotels Company Limited,XC - CODI,XC - HSP
175,INDIAMART,0.0,0.907,0.093,0.152,143.72,Indiamart Intermesh Limited,XC - INTH,XC - INT
176,INDIANB,0.0,0.939,0.061,0.11,361.36,Indian Bank,XC - FNCL,XC - PSU
177,INDIGO,0.017,0.889,0.093,0.108,810.4,InterGlobe Aviation Limited,XC - INDS,XC - LGT
178,INDIGOPNTS,0.239,0.761,0.0,-0.296,58.49,Indigo Paints Limited,XC - COST,XC - HPP
179,INDOCO,0.023,0.928,0.049,0.051,33.44,Indoco Remedies Limited,XC - HECA,XC - PHR
180,INDUSINDBK,0.024,0.904,0.072,0.088,940.04,IndusInd Bank Limited,XC - FNCL,XC - PVT
181,INDUSTOWER,0.043,0.957,0.0,-0.08,459.35,Indus Towers Limited,XC - COSE,XC - TEL
182,INFIBEAM,0.0,1.0,0.0,0.0,44.45,Infibeam Avenues Limited,XC - INTH,XC - INT
183,INFY,0.0,0.906,0.094,0.147,6481.96,Infosys Limited,XC - INTH,XC - ITS
184,INOXLEISUR,0.0,1.0,0.0,0.0,60.42,INOX Leisure Limited,XC - COSE,XC - MDA
185,INTELLECT,0.0,0.686,0.314,0.522,57.84,Intellect Design Arena Limited,XC - INTH,XC - ITS
186,IOB,0.2,0.609,0.191,-0.026,551.01,Indian Overseas Bank,XC - FNCL,XC - PSU
187,IOC,0.041,0.959,0.0,-0.064,1174.18,Indian Oil Corporation Limited,XC - ENRG,XC - REF
188,IRB,0.068,0.932,0.0,-0.159,178.54,IRB Infrastructure Developers Limited,XC - INDS,XC - CNS
189,IRCTC,0.0,1.0,0.0,0.0,514.56,Indian Railway Catering And Tourism Corporation Limited,XC - CODI,XC - HSP
190,ISEC,0.0,0.624,0.376,0.296,160.58,ICICI Securities Limited,XC - FNCL,XC - NFC
191,ITC,0.0,1.0,0.0,0.0,4207.15,ITC Limited,XC - COST,XC - FOP
